key,en,nl,ar
"+ Absence","+ Absence","+ Afwezigheid","+ غياب"
"+ Leave","+ Leave","+ Verlof","+ إجازة"
"-","-","-","-"
"About App","About App","Over de app","حول التطبيق"
"Absence created successfully","Absence created successfully","Afwezigheid succesvol aangemaakt","تم إنشاء الغياب بنجاح"
"Add Note","Add Note","Notitie toevoegen","إضافة ملاحظة"
"Add Qty.....","Add Qty.....","Aantal toevoegen.....","إضافة الكمية....."
"Add extra stop","Add extra stop","Extra stop toevoegen","إضافة محطة إضافية"
"Add gallery images","Add gallery images","Galerijafbeeldingen toevoegen","إضافة صور المعرض"
"Add images","Add images","Afbeeldingen toevoegen","إضافة صور"
"Add price...","Add price...","Prijs toevoegen...","إضافة السعر..."
"Add title.....","Add title.....","Titel toevoegen.....","إضافة العنوان....."
"Already Scanned","Already Scanned","Al gescand","تم المسح مسبقاً"
"Already have an account? Log in","Already have an account? Log in","Heb je al een account? Log in","هل لديك حساب؟ تسجيل الدخول"
"Apply Filter","Apply Filter","Filter toepassen","تطبيق الفلتر"
"Are you sure you want to cancel this booking?","Are you sure you want to cancel this booking?","Weet u zeker dat u deze boeking wilt annuleren?","هل أنت متأكد أنك تريد إلغاء هذا الحجز؟"
"Are you sure you want to complete this booking?","Are you sure you want to complete this booking?","Weet u zeker dat u deze boeking wilt afronden?","هل أنت متأكد أنك تريد إكمال هذا الحجز؟"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?","Weet u zeker dat u dit bestand wilt verwijderen?","هل أنت متأكد أنك تريد حذف هذا الملف؟"
"Are you sure you want to delete?","Are you sure you want to delete?","Weet u zeker dat u wilt verwijderen?","هل أنت متأكد أنك تريد الحذف؟"
"Arrival","Arrival","Aankomst","الوصول"
"BTW","BTW","BTW","ضريبة القيمة المضافة"
"Back","Back","Terug","رجوع"
"Begin & Einde","Begin & Einde","Begin & Einde","البداية والنهاية"
"Birth Date","Birth Date","Geboortedatum","تاريخ الميلاد"
"Birth Place","Birth Place","Geboorteplaats","مكان الميلاد"
"Booking","Booking","Boeking","حجز"
"Booking Details","Booking Details","Boekingsdetails","تفاصيل الحجز"
"Booking Id","Booking Id","Boekings-ID","رقم الحجز"
"Booking List","Booking List","Boekingslijst","قائمة الحجوزات"
"Booking Summary","Booking Summary","Boekingssamenvatting","ملخص الحجز"
"Booking cancelled","Booking cancelled","Boeking geannuleerd","تم إلغاء الحجز"
"Booking completed","Booking completed","Boeking voltooid","تم إكمال الحجز"
"Booking confirmed","Booking confirmed","Boeking bevestigd","تم تأكيد الحجز"
"Breake","Breake","Pauze","استراحة"
"Brog","Brog","Brok","قطعة"
"Burgerservicenummer (BSN) ","Burgerservicenummer (BSN) ","Burgerservicenummer (BSN)","رقم الخدمة المدنية (BSN)"
"Business","Business","Bedrijf","الأعمال"
"Business tags","Business tags","Bedrijfstags","وسوم الأعمال"
"Camera permission is required","Camera permission is required","Cameratoestemming is vereist","إذن الكاميرا مطلوب"
"Change Email","Change Email","E-mail wijzigen","تغيير البريد الإلكتروني"
"Change WhatsApp Number","Change WhatsApp Number","WhatsApp nummer wijzigen","تغيير رقم واتساب"
"Change photo","Change photo","Foto wijzigen","تغيير الصورة"
"Check In & Out","Check In & Out","In- & uitchecken","تسجيل الدخول / الخروج"
"Child Contract","Child Contract","Kindercontract","عقد الطفل"
"Child Time","Child Time","Kindtijd","وقت الطفل"
"Choose image","Choose image","Kies afbeelding","اختر صورة"
"Clear","Clear","Wissen","مسح"
"Client","Client","Klant","العميل"
"Close day","Close day","Dag sluiten","إغلاق اليوم"
"Closed Date","Closed Date","Sluitingsdatum","تاريخ الإغلاق"
"Comment added","Comment added","Opmerking toegevoegd","تمت إضافة التعليق"
"Company","Company","Bedrijf","الشركة"
"Company Name","Company Name","Bedrijfsnaam","اسم الشركة"
"Company created successfully!","Company created successfully!","Bedrijf succesvol aangemaakt!","تم إنشاء الشركة بنجاح!"
"Company details","Company details","Bedrijfsgegevens","تفاصيل الشركة"
"Complete Profile","Complete Profile","Profiel voltooien","إكمال الملف الشخصي"
"Connections Details","Connections Details","Verbindingsdetails","تفاصيل الاتصالات"
"Country Code","Country Code","Landcode","رمز الدولة"
"Country code","Country code","Landcode","رمز الدولة"
"Create Account","Create Account","Account aanmaken","إنشاء حساب"
"Create Booking","Create Booking","Boeking aanmaken","إنشاء حجز"
"Create New Ticket","Create New Ticket","Nieuw ticket aanmaken","إنشاء تذكرة جديدة"
"Curr..","Curr..","Valuta..","العملة.."
"Daycare Contract","Daycare Contract","Kinderopvangcontract","عقد رعاية الأطفال"
"Delete File","Delete File","Bestand verwijderen","حذف الملف"
"Departure","Departure","Vertrek","المغادرة"
"Description is required.","Description is required.","Beschrijving is verplicht.","الوصف مطلوب."
"Destination","Destination","Bestemming","الوجهة"
"Destination Address","Destination Address","Bestemmingsadres","عنوان الوجهة"
"Destination address","Destination address","Bestemmingsadres","عنوان الوجهة"
"Display Name","Display Name","Weergavenaam","اسم العرض"
"Document nr (ID/Paspoort)","Document nr (ID/Paspoort)","Documentnr. (ID/Paspoort)","رقم الوثيقة (الهوية/جواز السفر)"
"Driver","Driver","Chauffeur","السائق"
"Easy check-in & check-out","Easy check-in & check-out","Eenvoudig in- en uitchecken","تسجيل دخول وخروج سهل"
"Email Adres","Email Adres","E-mailadres","عنوان البريد الإلكتروني"
"Employer","Employer","Werkgever","صاحب العمل"
"End Datum","End Datum","Einddatum","تاريخ الانتهاء"
"Enter Naam","Enter Naam","Voer naam in","أدخل الاسم"
"Enter a valid company name","Enter a valid company name","Voer een geldige bedrijfsnaam in","أدخل اسم شركة صالح"
"Enter a valid phone number","Enter a valid phone number","Voer een geldig telefoonnummer in","أدخل رقم هاتف صالح"
"Enter address","Enter address","Voer adres in","أدخل العنوان"
"Enter birth place","Enter birth place","Voer geboorteplaats in","أدخل مكان الميلاد"
"Enter comment","Enter comment","Voer opmerking in","أدخل التعليق"
"Enter description","Enter description","Voer beschrijving in","أدخل الوصف"
"Enter destination address","Enter destination address","Voer bestemmingsadres in","أدخل عنوان الوجهة"
"Enter first name","Enter first name","Voer voornaam in","أدخل الاسم الأول"
"Enter middle name","Enter middle name","Voer voorvoegsel in","أدخل الاسم الأوسط"
"Enter pickup address","Enter pickup address","Voer ophaaladres in","أدخل عنوان الاستلام"
"Enter stop address","Enter stop address","Voer stopadres in","أدخل عنوان المحطة"
"Enter task name","Enter task name","Voer taaknaam in","أدخل اسم المهمة"
"Enter ticket title","Enter ticket title","Voer tickettitel in","أدخل عنوان التذكرة"
"Enter whatsapp number","Enter whatsapp number","Voer whatsapp nummer in","أدخل رقم واتساب"
"Enter your email and address","Enter your email and address","Voer je e-mailadres en adres in","أدخل بريدك الإلكتروني وعنوانك"
"Enter your personal information","Enter your personal information","Voer je persoonlijke gegevens in","أدخل معلوماتك الشخصية"
"Executor","Executor","Uitvoerder","المنفذ"
"Extra Stop","Extra Stop","Extra stop","محطة إضافية"
"Filter By Status","Filter By Status","Filteren op status","تصفية حسب الحالة"
"Financieel","Financial","Financieel","المالية"
"Flight Schedule","Flight Schedule","Vluchtschema","جدول الرحلات"
"Function Title","Function Title","Functietitel","المسمى الوظيفي"
"Geen Standby","Geen Standby","Geen standby","لا يوجد احتياط"
"Go back","Go back","Ga terug","العودة"
"Goedkeuren","Goedkeuren","Goedkeuren","الموافقة"
"Google maps","Google maps","Google Maps","خرائط جوجل"
"Grant permission","Grant permission","Toestemming verlenen","منح الإذن"
"Guest List","Guest List","Gastenlijst","قائمة الضيوف"
"How much did you receive?","How much did you receive?","Hoeveel heeft u ontvangen?","كم استلمت؟"
"Huurder","Huurder","Huurder","المستأجر"
"ID Ascending","ID Ascending","ID oplopend","المعرف تصاعدي"
"ID Descending","ID Descending","ID aflopend","المعرف تنازلي"
"Id","Id","ID","المعرف"
"Install","Install","Installeren","تثبيت"
"Invalid Number","Invalid Number","Ongeldig nummer","رقم غير صالح"
"KVK","KVK","KVK","KVK"
"Kind","Kind","Kind","الطفل"
"Kind Name","Kind Name","Kindnaam","اسم الطفل"
"Leave created successfully","Leave created successfully","Verlof succesvol aangemaakt","تم إنشاء الإجازة بنجاح"
"Location unavailable","Location unavailable","Locatie niet beschikbaar","الموقع غير متاح"
"Luggage","Luggage","Bagage","الأمتعة"
"Max persons","Max persons","Max. personen","الحد الأقصى للأشخاص"
"Menu","Menu","Menu","القائمة"
"Middle Name","Middle Name","Voorvoegsel","الاسم الأوسط"
"Mobile No.","Mobile No.","Mobiel nr.","رقم الجوال"
"My Booking","My Booking","Mijn boeking","حجزي"
"Name","Name","Naam","الاسم"
"New Note","New Note","Nieuwe notitie","ملاحظة جديدة"
"New Note Add","New Note Add","Nieuwe notitie toevoegen","إضافة ملاحظة جديدة"
"No Comments Yet","No Comments Yet","Nog geen opmerkingen","لا توجد تعليقات بعد"
"No Connections Found.","No Connections Found.","Geen verbindingen gevonden.","لم يتم العثور على اتصالات."
"No Contracts Found.","No Contracts Found.","Geen contracten gevonden.","لم يتم العثور على عقود."
"No Events Found","No Events Found","Geen evenementen gevonden","لم يتم العثور على أحداث"
"No Request Found.","No Request Found.","Geen verzoek gevonden.","لم يتم العثور على طلب."
"No Tickets Found","No Tickets Found","Geen tickets gevonden","لم يتم العثور على تذاكر"
"No Work Orders Found.","No Work Orders Found.","Geen werkorders gevonden.","لم يتم العثور على أوامر عمل."
"No countries found","No countries found","Geen landen gevonden","لم يتم العثور على دول"
"No data found","No data found","Geen gegevens gevonden","لم يتم العثور على بيانات"
"No file chosen","No file chosen","Geen bestand gekozen","لم يتم اختيار ملف"
"No internet connection","No internet connection","Geen internetverbinding","لا يوجد اتصال بالإنترنت"
"None","None","Geen","لا شيء"
"OTP resent successfully","OTP resent successfully","OTP opnieuw verzonden","تم إعادة إرسال OTP بنجاح"
"Opmerking","Opmerking","Opmerking","ملاحظة"
"Opnieuw","Reset","Opnieuw","إعادة تعيين"
"Optional","Optional","Optioneel","اختياري"
"Order Created By","Order Created By","Bestelling aangemaakt door","تم إنشاء الطلب بواسطة"
"Outstading","Outstading","Openstaand","المستحق"
"Parent 1","Parent 1","Ouder 1","الوالد 1"
"Parent 2","Parent 2","Ouder 2","الوالد 2"
"Past Events","Past Events","Afgelopen evenementen","الأحداث السابقة"
"Pay Job","Pay Job","Betaal klus","دفع المهمة"
"Pay Now","Pay Now","Nu betalen","ادفع الآن"
"Pay order","Pay order","Bestelling betalen","دفع الطلب"
"Payment saved","Payment saved","Betaling opgeslagen","تم حفظ الدفع"
"Permission required to access photos","Permission required to access photos","Toestemming vereist voor foto's","الإذن مطلوب للوصول إلى الصور"
"Personal Details","Personal Details","Persoonlijke gegevens","التفاصيل الشخصية"
"Personalia","Personalia","Personalia","البيانات الشخصية"
"Phone country code","Phone country code","Telefoon landcode","رمز دولة الهاتف"
"Pickup Address","Pickup Address","Ophaaladres","عنوان الاستلام"
"Please Enter Ammount!","Please Enter Ammount!","Voer bedrag in!","يرجى إدخال المبلغ!"
"Please Enter Comments!","Please Enter Comments!","Voer opmerkingen in!","يرجى إدخال التعليقات!"
"Please Enter Note","Please Enter Note","Voer notitie in","يرجى إدخال الملاحظة"
"Please check your internet and try again.","Please check your internet and try again.","Controleer je internetverbinding en probeer opnieuw.","يرجى التحقق من الإنترنت والمحاولة مرة أخرى."
"Please complete your profile to continue","Please complete your profile to continue","Voltooi je profiel om door te gaan","يرجى إكمال ملفك الشخصي للمتابعة"
"Please enter address","Please enter address","Voer adres in","يرجى إدخال العنوان"
"Please enter comment","Please enter comment","Voer opmerking in","يرجى إدخال التعليق"
"Please enter company name","Please enter company name","Voer bedrijfsnaam in","يرجى إدخال اسم الشركة"
"Please enter signature","Please enter signature","Voer handtekening in","يرجى إدخال التوقيع"
"Please enter task name","Please enter task name","Voer taaknaam in","يرجى إدخال اسم المهمة"
"Please fill all required fields","Please fill all required fields","Vul alle verplichte velden in","يرجى ملء جميع الحقول المطلوبة"
"Please fill required fields","Please fill required fields","Vul verplichte velden in","يرجى ملء الحقول المطلوبة"
