key,en,nl
"+ Absence","+ Absence","+ Absence"
"+ Leave","+ Leave","+ Leave"
"-","-","-"
"About App","About App","Over de app"
"Absence created successfully","Absence created successfully","Absence created successfully"
"Add Note","Add Note","Add Note"
"Add Qty.....","Add Qty.....","Add Qty....."
"Add extra stop","Add extra stop","Extra stop toevoegen"
"Add gallery images","Add gallery images","Galerijafbeeldingen toevoegen"
"Add images","Add images","Afbeeldingen toevoegen"
"Add price...","Add price...","Add price..."
"Add title.....","Add title.....","Add title....."
"Already Scanned","Already Scanned","Already Scanned"
"Already have an account? Log in","Already have an account? Log in","Heb je al een account? Log in"
"Apply Filter","Apply Filter","Apply Filter"
"Are you sure you want to cancel this booking?","Are you sure you want to cancel this booking?","Weet u zeker dat u deze boeking wilt annuleren?"
"Are you sure you want to complete this booking?","Are you sure you want to complete this booking?","Weet u zeker dat u deze boeking wilt afronden?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Are you sure you want to delete?","Are you sure you want to delete?","Are you sure you want to delete?"
"Arrival","Arrival","Arrival"
"BTW","BTW","BTW"
"Back","Back","Terug"
"Begin & Einde","Begin & Einde","Begin & Einde"
"Birth Date","Birth Date","Geboortedatum"
"Birth Place","Birth Place","Geboorteplaats"
"Booking","Booking","Boeking"
"Booking Details","Booking Details","Booking Details"
"Booking Id","Booking Id","Booking Id"
"Booking List","Booking List","Booking List"
"Booking Summary","Booking Summary","Boekingssamenvatting"
"Booking cancelled","Booking cancelled","Boeking geannuleerd"
"Booking completed","Booking completed","Boeking voltooid"
"Booking confirmed","Booking confirmed","Booking confirmed"
"Breake","Breake","Breake"
"Brog","Brog","Brog"
"Burgerservicenummer (BSN) ","Burgerservicenummer (BSN) ","Burgerservicenummer (BSN) "
"Business","Business","Business"
"Business tags","Business tags","Bedrijfstags"
"Camera permission is required","Camera permission is required","Camera permission is required"
"Change Email","Change Email","E-mail wijzigen"
"Change WhatsApp Number","Change WhatsApp Number","WhatsApp nummer wijzigen"
"Change photo","Change photo","Foto wijzigen"
"Check In & Out","Check In & Out","In- & uitchecken"
"Child Contract","Child Contract","Child Contract"
"Child Time","Child Time","Child Time"
"Choose image","Choose image","Kies afbeelding"
"Clear","Clear","Clear"
"Client","Client","Client"
"Close day","Close day","Close day"
"Closed Date","Closed Date","Closed Date"
"Comment added","Comment added","Comment added"
"Company","Company","Company"
"Company Name","Company Name","Bedrijfsnaam"
"Company created successfully!","Company created successfully!","Company created successfully!"
"Company details","Company details","Bedrijfsgegevens"
"Complete Profile","Complete Profile","Profiel voltooien"
"Connections Details","Connections Details","Connections Details"
"Country Code","Country Code","Landcode"
"Country code","Country code","Country code"
"Create Account","Create Account","Account aanmaken"
"Create Booking","Create Booking","Create Booking"
"Create New Ticket","Create New Ticket","Create New Ticket"
"Curr..","Curr..","Curr.."
"Daycare Contract","Daycare Contract","Daycare Contract"
"Delete File","Delete File","Delete File"
"Departure","Departure","Departure"
"Description is required.","Description is required.","Description is required."
"Destination","Destination","Bestemming"
"Destination Address","Destination Address","Destination Address"
"Destination address","Destination address","Bestemmingsadres"
"Display Name","Display Name","Weergavenaam"
"Document nr (ID/Paspoort)","Document nr (ID/Paspoort)","Document nr (ID/Paspoort)"
"Driver","Driver","Driver"
"Easy check-in & check-out","Easy check-in & check-out","Eenvoudig in- en uitchecken"
"Email Adres","Email Adres","Email Adres"
"Employer","Employer","Employer"
"End Datum","End Datum","End Datum"
"Enter Naam","Enter Naam","Enter Naam"
"Enter a valid company name","Enter a valid company name","Voer een geldige bedrijfsnaam in"
"Enter a valid phone number","Enter a valid phone number","Voer een geldig telefoonnummer in"
"Enter address","Enter address","Voer adres in"
"Enter birth place","Enter birth place","Voer geboorteplaats in"
"Enter comment","Enter comment","Enter comment"
"Enter description","Enter description","Enter description"
"Enter destination address","Enter destination address","Enter destination address"
"Enter first name","Enter first name","Voer voornaam in"
"Enter middle name","Enter middle name","Voer voorvoegsel in"
"Enter pickup address","Enter pickup address","Enter pickup address"
"Enter stop address","Enter stop address","Enter stop address"
"Enter task name","Enter task name","Enter task name"
"Enter ticket title","Enter ticket title","Enter ticket title"
"Enter whatsapp number","Enter whatsapp number","Voer whatsapp nummer in"
"Enter your email and address","Enter your email and address","Voer je e-mailadres en adres in"
"Enter your personal information","Enter your personal information","Voer je persoonlijke gegevens in"
"Executor","Executor","Executor"
"Extra Stop","Extra Stop","Extra stop"
"Filter By Status","Filter By Status","Filter By Status"
"Financieel","Financial","Financieel"
"Flight Schedule","Flight Schedule","Flight Schedule"
"Function Title","Function Title","Function Title"
"Geen Standby","Geen Standby","Geen Standby"
"Go back","Go back","Go back"
"Goedkeuren","Goedkeuren","Goedkeuren"
"Google maps","Google maps","Google maps"
"Grant permission","Grant permission","Grant permission"
"Guest List","Guest List","Guest List"
"How much did you receive?","How much did you receive?","How much did you receive?"
"Huurder","Huurder","Huurder"
"ID Ascending","ID Ascending","ID Ascending"
"ID Descending","ID Descending","ID Descending"
"Id","Id","Id"
"Install","Install","Install"
"Invalid Number","Invalid Number","Invalid Number"
"KVK","KVK","KVK"
"Kind","Kind","Kind"
"Kind Name","Kind Name","Kind Name"
"Leave created successfully","Leave created successfully","Leave created successfully"
"Location unavailable","Location unavailable","Locatie niet beschikbaar"
"Luggage","Luggage","Luggage"
"Max persons","Max persons","Max. personen"
"Menu","Menu","Menu"
